,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,upd_dt,ttl_flt,prop_val,rpy_prd,inc_reqr,addr,latitude,longitude
0,7.0,16000.0,580.0,761.0,76.0,2.0,,2019-05-20,672.0,7000000.0,30,39198.0, 138 SHAP PAT HEUNG ROAD,22.437359899999997,114.0254431
1,11.0,26000.0,610.0,755.0,81.0,3.0,,2019-05-18,9812.0,11000000.0,30,51331.0, 18A SOUTH HORIZON DRIVE,22.243262899999998,114.148493229945
2,9.0,28000.0,588.0,694.0,85.0,,,2019-05-20,4329.0,9000000.0,30,46664.0, 1-20 CHI FU ROAD,22.2557305,114.1384359
3,8.0,,462.0,867.0,53.0,3.0,Southwest,2019-05-20,,8000000.0,30,44798.0,,22.2793278,
4,7.8,,482.0,635.0,76.0,2.0,,2019-05-19,1124.0,7800000.0,30,43678.0, 8 YUK TAI STREET,22.4114015,114.2221689
5,7.6,,503.0,674.0,75.0,,,2019-05-20,4760.0,7600000.0,30,42558.0, 18 ON LUK STREET,22.4234819,114.2331845
6,14.6,30000.0,785.0,1030.0,76.0,3.0,,2019-05-19,1360.0,14600000.0,30,68130.0, 1 MEI TIN ROAD,22.37017645,114.175091693505
7,7.4,,475.0,652.0,73.0,2.0,Southwest,2019-05-20,1624.0,7400000.0,30,41438.0, 100 YEUNG UK ROAD,22.3659929,114.1199724
8,12.0,,621.0,784.0,79.0,,,2019-05-19,9812.0,12000000.0,30,55997.0, 18A SOUTH HORIZON DRIVE,22.243262899999998,114.148493229945
9,11.8,24000.0,584.0,728.0,80.0,2.0,Northeast,2019-05-18,9812.0,11800000.0,30,55064.0, 18A SOUTH HORIZON DRIVE,22.243262899999998,114.148493229945
10,56.0,62001.0,953.0,1255.0,76.0,3.0,,2019-05-20,1054.0,56000000.0,30,261320.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
11,8.08,17000.0,701.0,,,3.0,,2019-05-18,1620.0,8080000.0,30,45246.0, 68 KUNG UM ROAD,22.4388815,114.0257915
12,16.8,30000.0,656.0,656.0,100.0,2.0,South,2019-05-18,67.0,16800000.0,30,78396.0, 3 JULIA AVENUE,22.32010885,114.175348166877
13,40.0,65000.0,1567.0,2035.0,77.0,4.0,West,2019-05-19,439.0,40000000.0,30,186657.0, 80 SHEUNG SHING STREET,22.3170084,114.1798073
14,98.0,168000.0,1236.0,,,3.0,,2019-05-19,111.0,98000000.0,30,457310.0, 31 CONDUIT ROAD,22.27988,114.15012
15,12.0,30000.0,461.0,614.0,75.0,1.0,,2019-05-14,237.0,12000000.0,30,55997.0, 1 WAN CHAI ROAD,22.2783726,114.1806846
16,20.5,43500.0,668.0,,,2.0,,2019-05-19,125.0,20500000.0,30,95662.0, 180 CONNAUGHT ROAD WEST,22.2885928,114.1450272
17,5.7,13000.0,449.0,576.0,78.0,2.0,South,2019-05-18,3472.0,5700000.0,30,31918.0, 1 TIN WU ROAD,22.4521749,114.0016309
