,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,view,desc,upd_dt,addr,blk_num,school,ttl_flt,occu_permit_dt,facilities,prop_val,ln_amt,int_rt,rpy_prd,inc_reqr
0,Price(HK$)7M,"Rent(HK$)16,000",580,761,76%,2room(s),,Bright&OpenView,RoofTop,20/05/2019, 138 SHAP PAT HEUNG ROAD,"5Towers(Tower1,2,3,5,6)", Nearby Kindergarten YUEN LONG; Primary 73; Secondary YUEN LONG,672Units,"05February,2010",,"$7,000,000","60%or$4,200,000",P*-3.0or2.375%,30Years(360Phase),"$39,198/Month"
0,Price(HK$)11M,"Rent(HK$)26,000",610,755,81%,3room(s),,,,18/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$11,000,000","50%or$5,500,000",P*-3.0or2.375%,30Years(360Phase),"$51,331/Month"
0,Price(HK$)9M,"Rent(HK$)28,000",588,694,85%,,,,,20/05/2019, 1-20 CHI FU ROAD,20, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"4,329Units","26June,1981(BlockH-15),11June,1981(BlockH-16ToH-20),23March,1981(BlockH-14),30September,1980(BlockH-13),18April,1980(BlockH-10,H-11),03April,1980(BlockH-12),06June,1979(BlockH-9),25January,1979(BlockH-8),29December,1978(BlockH-7),28December,1978(BlockH-2),06December,1978(BlockH-3,H-4,H-5),22September,1978(BlockH-1,H-6),31August,1978(YarCheeVillas)","ShoppingMall,BowlingAlley,Bank,Restaurant,Supermarket,HeatedSwimmingPool,Garden","$9,000,000","55%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)8M,,462,867,53%,3room(s),Southwest,Bright&OpenView,,20/05/2019,,,,,,,"$8,000,000","60%or$4,800,000",P*-3.0or2.375%,30Years(360Phase),"$44,798/Month"
0,Price(HK$)7.8M,,482,635,76%,2room(s),,,,19/05/2019, 8 YUK TAI STREET,, Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"1,124Units","31August,2000",,"$7,800,000","60%or$4,680,000",P*-3.0or2.375%,30Years(360Phase),"$43,678/Month"
0,Price(HK$)7.6M,,503,674,75%,,,,,20/05/2019, 18 ON LUK STREET,16, Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"4,760Units","10October,1996(TheToloPlace(Block1-4)),15December,1994(BlockE-H,J-M),21January,1994(BlockN,P,Q,R),19February,1993(BlockC,D),10February,1993(BlockA,B)",,"$7,600,000","60%or$4,560,000",P*-3.0or2.375%,30Years(360Phase),"$42,558/Month"
0,Price(HK$)14.6M,"Rent(HK$)30,000",785,"1,030",76%,3room(s),,"MountainView,GardenView",,19/05/2019, 1 MEI TIN ROAD,Phase1, Nearby Kindergarten SHATIN; Primary 88; Secondary SHATIN,"1,360Units","03February,2010","OutdoorRecreationalFacilities*,Phase1","$14,600,000","50%or$7,300,000",P*-3.0or2.375%,30Years(360Phase),"$68,130/Month"
0,Price(HK$)7.4M,,475,652,73%,2room(s),Southwest,SeaView,,20/05/2019, 100 YEUNG UK ROAD,4, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"1,624Units","10June,2005",Clubhouse,"$7,400,000","60%or$4,440,000",P*-3.0or2.375%,30Years(360Phase),"$41,438/Month"
0,Price(HK$)12M,,621,784,79%,,,,,19/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$12,000,000","50%or$6,000,000",P*-3.0or2.375%,30Years(360Phase),"$55,997/Month"
0,Price(HK$)11.8M,"Rent(HK$)24,000",584,728,80%,2room(s),Northeast,Bright&OpenView,,18/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$11,800,000","50%or$5,900,000",P*-3.0or2.375%,30Years(360Phase),"$55,064/Month"
